City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kameyama,34.85,136.45,16.66,91,100,2.67,JP,1713210091
1,pyapon,16.2833,95.6833,28.02,68,0,4.12,MM,1713210092
2,san patricio,28.017,-97.5169,28.92,71,100,9.79,US,1713210092
3,edinburgh of the seven seas,-37.0676,-12.3116,15.23,65,15,6.01,SH,1713210092
4,grytviken,-54.2811,-36.5092,1.45,79,16,8.12,GS,1713209880
5,darwin,-12.4611,130.8418,26.99,80,98,2.57,AU,1713210093
6,luganville,-15.5333,167.1667,26.66,87,100,4.6,VU,1713210093
7,hawaiian paradise park,19.5933,-154.9731,25.5,86,0,2.68,US,1713210093
8,margaret river,-33.95,115.0667,12.73,88,0,3.43,AU,1713209983
9,lazaro cardenas,17.9583,-102.2,29.32,53,100,4.47,MX,1713210093
10,hithadhoo,-0.6,73.0833,28.57,79,100,2.39,MV,1713210093
11,mundri,-6.9558,111.71,24.15,94,73,2.18,ID,1713210094
12,waitangi,-43.9535,-176.5597,11.01,77,100,0.45,NZ,1713210094
13,skovorodino,53.9833,123.9167,-6.7,100,78,1.25,RU,1713210094
14,ushuaia,-54.8,-68.3,16.81,51,0,4.12,AR,1713210094
15,albany,42.6001,-73.9662,17.67,49,13,1.79,US,1713209938
16,kourou,5.1552,-52.6478,31.03,83,98,3.37,GF,1713210094
17,garachico,28.7781,-17.7646,20.06,83,0,1.54,ES,1713210094
18,xinzhi,36.4989,111.7047,13.79,28,35,1.88,CN,1713210094
19,port-aux-francais,-49.35,70.2167,5.21,79,82,16.48,TF,1713210095
20,lihue,21.9789,-159.3672,24.64,71,100,2.06,US,1713210095
21,phalaborwa,-23.943,31.1411,20.14,71,15,1.85,ZA,1713210095
22,bilibino,68.0546,166.4372,-19.91,95,100,1.64,RU,1713210095
23,novi ligure,44.7608,8.7896,16.71,86,17,3.71,IT,1713210095
24,kodiak,57.79,-152.4072,3.73,60,75,2.57,US,1713210095
25,yorkton,51.2167,-102.4677,12.91,35,100,10.29,CA,1713210095
26,atafu village,-8.5421,-172.5159,29.16,74,100,3.44,TK,1713210095
27,aasiaat,68.7098,-52.8699,-9.95,80,43,2.34,GL,1713210096
28,an nuhud,12.7,28.4333,26.56,12,53,5.86,SD,1713210096
29,badger,64.8,-147.5333,1.67,55,20,1.54,US,1713209937
30,laguna,38.421,-121.4238,18.5,62,40,4.63,US,1713210096
31,hami,42.8,93.45,17.12,14,6,3.16,CN,1713210096
32,stanley,54.868,-1.6985,7.01,75,40,6.69,GB,1713209909
33,abepura,-2.6333,140.5833,24.45,100,40,0.0,ID,1713210096
34,tual,-5.6667,132.75,28.27,78,98,4.1,ID,1713210096
35,hamilton,39.1834,-84.5333,30.05,48,0,2.24,US,1713209626
36,maceio,-9.6658,-35.7353,30.69,79,40,4.12,BR,1713210096
37,keflavik,64.0049,-22.5624,2.95,51,0,7.72,IS,1713210097
38,rucava,56.1585,21.1619,1.95,89,59,1.78,LV,1713210097
39,iqaluit,63.7506,-68.5145,-2.15,50,20,5.66,CA,1713210097
